ID,Iniciales,Tiempo,ObsAA,ObsEst,ObsCon,ObsCaos,DNE,G1,G2,G3,X1,X2,X3,ApoyoAut,Estruc,Control,Chaos,SIS_AA,SIS_Est,SIS_Control,SIS_Chaos,NeedSat,NeedFru,AutSat,CompSat,SatRel,FrusAut,FrusComp,FrusRel,SatLab,EmoExha,Cinismo,Engagement,Thriving,Joy,Anger,Anxiety,Hope,Hopelessness,PerGrow,RelGrow,MasGrow,EducaMat,DesBeha,NoGoal,NeedSup,EstDesm,CoreBO,EmoPos,EmoNeg
1,MC,16,"3,666666667","5,333333333",1,1,56,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,17,"3,666666667","5,333333333",1,1,55,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,18,"3,666666667","5,333333333",1,1,76,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,19,"3,666666667","5,333333333",1,1,70,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,20,"3,666666667","5,333333333",1,1,63,5,,,9,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,21,"4,333333333","5,666666667",1,1,64,5,,,,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,22,"4,333333333","5,666666667",1,1,79,5,,,,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,23,"4,333333333","5,666666667",1,1,70,5,,,,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,24,"4,333333333","5,666666667",1,1,71,5,,,,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
1,MC,25,"4,333333333","5,666666667",1,1,71,5,,,,,,"5,83","6,4","3,5","2,2","4,75","5,88",2,"3,13","5,58","2,42",5,6,"5,75","2,75",2,"2,5","6,4",2,2,"5,67",,6,"3,5",3,"6,25","1,75",6,5,"6,75","3,5",4,"3,67","5,32","2,57",2,"6,13","3,25"
